keyword_text,keyword_match_type,ad_group_criterion_status,campaign_name,ad_group_name,ad_group_criterion_quality_info_quality_score,impressions,clicks,ctr,average_cpc,cost,conversions,cost_per_conversion
estudio de colonoscopia,EXACT,ENABLED,Colon Max Conversions,Colonoscopy - Core,2,22,3,0.1364,59.86,179.58,0,
cuanto cuesta una ligadura de hemorroides,EXACT,ENABLED,Hemorroides,Hemorroides - Core,,21,2,0.0952,81.29,162.58,0,
colonoscopia merida,EXACT,ENABLED,Colon Max Conversions,Colonoscopy - Core,7,29,7,0.2414,19.15,134.06,3.4978,38.33
endoscopia precio merida,EXACT,ENABLED,Endoscopia,Endoscopy Prices,5,54,5,0.0926,26.01,130.03,0,
colonoscopia precio merida,EXACT,ENABLED,Colon Max Conversions,Colonoscopy - Pricing,,5,4,0.8,28.58,114.32,0,
cuanto cuesta una colonoscopia,EXACT,ENABLED,Colon Max Conversions,Colonoscopy - Pricing,5,17,5,0.2941,19.31,96.53,0,
precio ligadura de hemorroides,EXACT,ENABLED,Hemorroides,Hemorroides - Core,,6,1,0.1667,89.07,89.07,0,
costo colonoscopia merida,PHRASE,ENABLED,Colonoscopia,Colonoscopy - Pricing,,11,1,0.0909,59.09,59.09,0,
precio de colonoscopia,EXACT,ENABLED,Colon Max Conversions,Colonoscopy - Pricing,3,9,2,0.2222,29.25,58.5,0,
cuanto cuesta la ligadura de hemorroides,EXACT,ENABLED,Hemorroides,Hemorroides - Core,2,9,2,0.2222,24.81,49.62,0,
costo colonoscopia merida,PHRASE,ENABLED,Colon Max Conversions,Colonoscopy - Pricing,,5,2,0.4,22.7,45.41,0,
ligadura de hemorroides costo,EXACT,ENABLED,Hemorroides,Hemorroides - Core,,4,2,0.5,18.31,36.62,0,
clinica de colonoscopia,PHRASE,ENABLED,Colon Max Conversions,Colonoscopy - Core,,5,1,0.2,34.92,34.92,1,34.92
ligadura de hemorroides precio,EXACT,ENABLED,Hemorroides,Hemorroides - Core,,5,1,0.2,18.25,18.25,0,
Endoscopia,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
colonoscopia virtual,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
Endoscopia,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
endoscopia gastrointestinal,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
Colonoscopia,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
endoscopia gastrointestinal,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
examen de colonoscopia,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
panendoscopia,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
colonoscopia virtual,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
examen de colonoscopia,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
panendoscopia,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
colonoscopia laboratorios,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
endoscopia con sedacion,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
endoscopia baja,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
colonoscopia particular,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
colonoscopia particular,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
Colonoscopia,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
colonoscopia laboratorios,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
endoscopia con sedacion,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
endoscopia baja,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
Bypass Gastrico,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Bypass Gastrico,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Balon Gastrico CDMX,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Manga Gastrica CDMX,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Balon Gastrico CDMX,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Manga Gastrica CDMX,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
weight loss surgery,BROAD,ENABLED,april-2024-obesity,Ad group 1,,0,0,,,0.0,0,
gastric surgery,BROAD,ENABLED,april-2024-obesity,Ad group 1,,0,0,,,0.0,0,
bariatric doctor,BROAD,ENABLED,april-2024-obesity,Ad group 1,,0,0,,,0.0,0,
gastric balloon,BROAD,ENABLED,april-2024-obesity,Ad group 1,,0,0,,,0.0,0,
stomach surgery,BROAD,ENABLED,april-2024-obesity,Ad group 1,,0,0,,,0.0,0,
bariatric dr,BROAD,ENABLED,april-2024-obesity,Ad group 1,,0,0,,,0.0,0,
medical center weight loss,BROAD,ENABLED,april-2024-obesity,Ad group 1,,0,0,,,0.0,0,
endoscopic surgery,BROAD,ENABLED,april-2024-obesity,Ad group 1,,0,0,,,0.0,0,
bariatric endoscopy,BROAD,ENABLED,april-2024-obesity,Ad group 1,,0,0,,,0.0,0,
dr for gastric bypass,BROAD,ENABLED,april-2024-obesity,Ad group 1,,0,0,,,0.0,0,
Cirugía Gástrica,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Manga Gástrica,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Manga Gástrica,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Cirugía Gástrica,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Endoscopia,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
colonoscopia virtual,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
Endoscopia,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
endoscopia gastrointestinal,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
Colonoscopia,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
endoscopia gastrointestinal,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
examen de colonoscopia,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
panendoscopia,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
colonoscopia virtual,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
examen de colonoscopia,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
panendoscopia,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
colonoscopia laboratorios,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
endoscopia con sedacion,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
endoscopia baja,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
colonoscopia particular,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
colonoscopia particular,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
Colonoscopia,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
colonoscopia laboratorios,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
endoscopia con sedacion,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
endoscopia baja,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Colo & Endo,,0,0,,,0.0,0,
Bypass Gastrico,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Bypass Gastrico,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Balon Gastrico CDMX,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Manga Gastrica CDMX,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Balon Gastrico CDMX,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Manga Gastrica CDMX,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Cirugía Gástrica,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Bypass Gástrico,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Bypass Gástrico,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Balón Gástrico,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Balón Intragástrico,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Manga Gástrica,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Balón Gástrico,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Balón Intragástrico,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Manga Gástrica,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Balón Ingerible,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Cirugía Gástrica,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Globo Gástrico,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Balón Ingerible,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Globo Gástrico,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Colonoscopia CDMX,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Endoscopy Colonoscopy,,0,0,,,0.0,0,
Endoscopia CDMX,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Endoscopy Colonoscopy,,0,0,,,0.0,0,
Colonoscopia CDMX,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Endoscopy Colonoscopy,,0,0,,,0.0,0,
Endoscopia CDMX,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Endoscopy Colonoscopy,,0,0,,,0.0,0,
Bariatra CDMX,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Bariatra Cerca,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico Cerca,PHRASE,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Bariatra CDMX,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Bariatra Cerca,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico Cerca,EXACT,ENABLED,JAN 14-31 | Obesity | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Endoscopia,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopía,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopia precio,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopia digestiva,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
Endoscopia,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopia gastrointestinal,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopia gastrointestinal,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
panendoscopia,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
panendoscopia,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopia con sedacion,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopia baja,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopia gastrointestinal precio,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopia con sedacion,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopia baja,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopias economicas en cdmx,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
Bypass Gastrico,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Bypass Gastrico,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Balon Gastrico CDMX,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Manga Gastrica CDMX,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Balon Gastrico CDMX,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Manga Gastrica CDMX,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Cirugía Gástrica,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Keyword: Endoscopy,,0,0,,,0.0,0,
Manga Gástrica,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Keyword: Endoscopy,,0,0,,,0.0,0,
Manga Gástrica,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Keyword: Endoscopy,,0,0,,,0.0,0,
Cirugía Gástrica,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Keyword: Endoscopy,,0,0,,,0.0,0,
endoscopía,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy & Colonoscopy,,0,0,,,0.0,0,
endoscopia precio,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy & Colonoscopy,,0,0,,,0.0,0,
endoscopia digestiva,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy & Colonoscopy,,0,0,,,0.0,0,
estudio de colonoscopia,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy & Colonoscopy,,0,0,,,0.0,0,
colonoscopia virtual precio,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy & Colonoscopy,,0,0,,,0.0,0,
colonoscopia precio chopo,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy & Colonoscopy,,0,0,,,0.0,0,
endoscopia gastrointestinal precio,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy & Colonoscopy,,0,0,,,0.0,0,
colonoscopia chopo,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy & Colonoscopy,,0,0,,,0.0,0,
colonoscopia precio hospital angeles,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy & Colonoscopy,,0,0,,,0.0,0,
colonoscopia salud digna,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy & Colonoscopy,,0,0,,,0.0,0,
colonoscopia precio,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy & Colonoscopy,,0,0,,,0.0,0,
endoscopias economicas en cdmx,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy & Colonoscopy,,0,0,,,0.0,0,
Colonoscopia CDMX,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy & Colonoscopy,,0,0,,,0.0,0,
Endoscopia CDMX,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy & Colonoscopy,,0,0,,,0.0,0,
Colonoscopia CDMX,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy & Colonoscopy,,0,0,,,0.0,0,
Endoscopia CDMX,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Endoscopy & Colonoscopy,,0,0,,,0.0,0,
Bariatra CDMX,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Bariatra Cerca,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico Cerca,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Bariatra CDMX,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Bariatra Cerca,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico Cerca,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
